Song,Film/Album,Artists
Baba Re Baba,Nilanjana,"Bappi Lahiri, Alka Yagnik, Chorus"
Nilanjana [1],Nilanjana,"Bappi Lahiri, Alka Yagnik"
Abeshe Mukh Rekhe,Nirmala Misra Emon Ekta,Nirmala Mishra
Tumi Amar Prem,Nostalgia Prem Ekbari,Subir Sen
Bhalobasa Ke Tomare Naam,Old Bengali Songs,Dwijen Mukherjee
Bolte Paro Emon Keno Hoy,Pathe Holo Dekha,Sandhya Mukherjee
Ami Dekhte Bhalobashi,Phuleshwari,Hemanta Mukherjee
Amar Kankher Kalshi,Pransajani,"Sabina Yasmin, Andrew Kishore"
Ki Jadu Korila,Pransajani,"Sabina Yasmin, Andrew Kishore"
Keno Eto Kachhe Ese,Prapti,Shreyashi Mondal
Sudhu Tomakei Cheye,Priyatama Mone Rekho,Kumar Sanu
Sudhu Tomakei Cheye,Prapti,Shreyashi Mondal
Eto Noi Noi,Priyatama Mone Rekho,Kumar Sanu
Ghumao O Chand,Priyatama Mone Rekho,Kumar Sanu
O Chokhe Amar,Priyatama Mone Rekho,Kumar Sanu
Tomar Hasite Bodhu,Priyatama Mone Rekho,Kumar Sanu
Duti Pakhi Duti Teere,Priyatama Mone Rekho,"Mrinal Chakraborty, Kumar Sanu"
Jete Jete Kichhu Katha,Puja 85 Arundhati Holme,"Rupam Islam, Arundhati Holme Chowdhury"
Bhalobasi Tomai,,Anjan Dutta
Bhalobasi Tomai,Purono Guitar Modern Songs,Anjan Dutta
Chokhe Chokhe,R D Club Mix,Sharmistha Kundu
Ekta Meye Jakhan Takhan Haatchhaninte,Raghab Chatterjee Bhorer,Raghab Chatterjee
Tar Banshi Je,Rangila Banshite Ke Dake,Arati Mukherjee
Andhakarer Pare,Ranjana Ami Ar Ashbona,Somlata Acharyya Chowdhury
Tumi Ashbey Bole,Ranjana Ami Ar Ashbona,Somlata Acharyya Chowdhury
Madhu Malati Dake,Rashida Khan Tumi Je Amar,Rashida Khan
