Song,Film/Album,Artists
Mohniye Soniye Ha Dil Liya,Begunaah,"Kumar Sanu, Sadhana Sargam"
Aa Khel Khelen Hum,Bekhudi,"Kumar Sanu, Asha Bhosle"
Daddy Mummy Meri Shaadi,Bekhudi,"Kumar Sanu, Asha Bhosle"
Dekh Ke Yeh Roomal,Bekhudi,"Kumar Sanu, Asha Bhosle"
Khat Maine Tera Naam Likha,Bekhudi,"Kumar Sanu, Asha Bhosle"
Mujhe Kya Pata Tera Ghar,Bekhudi,"Kumar Sanu, Asha Bhosle"
Gungunati Hui Ek Nadi Mil Gayi,Betaabi,"Kumar Sanu, Suresh Wadkar"
Ek Chadar Do Sonewale,Betaaj Badshah,"Kumar Sanu, Poornima"
Hansi Hansi Mein Kabhi Dil,Betaaj Badshah,Kumar Sanu
Dil Se Dil Takraya,Beti No.1,"Kumar Sanu, Kavita Krishnamurthy"
Palkon Pe Aao,Beti No.1,Kumar Sanu
Pyar Ka Anjam,Bewafaa,"Kumar Sanu, Alka Yagnik, Sapna Mukherjee"
Naach Nachaye Rupaiya,Bhabhi,Kumar Sanu
Aankhen Jiski Mandir Masjid,Bhai Bhai,"Kumar Sanu, Udit Narayan, Alka Yagnik, Sapna Mukherjee, Sudesh Bhosle"
Chaand Nikla,Bhai Bhai,Kumar Sanu
Chicklam Chicki,Bhai Bhai,Kumar Sanu
Dil Dil Dil,Bhai Bhai,Kumar Sanu
Tere Bina Duniya,Bhishma,Kumar Sanu
One Two Three,Bhookamp,"Kumar Sanu, Alka Yagnik, Kavita Krishnamurthy"
Tum Jo Mile,Bhookamp,Kumar Sanu
Yahi Woh Jaga Thi,Bhookamp,Kumar Sanu
Neend Aati Thi Chain Aata Tha,Bhooton Ki Raas Leela,"Kumar Sanu, Kavita Krishnamurthy"
Ladka Razi Ladki Razi,Billoo Badshah,Kumar Sanu
Pyar Karenge Abhi Karenge,Billoo Badshah,"Kumar Sanu, Kavita Krishnamurthy"
Tum Se Pyar Kiya Hai,Bin Phere Free Me Ttere,"Kumar Sanu, Pamela Jain"
Jungle Hai Aadhi Raat,Biwi No.1,"Kumar Sanu, Hema Sardesai"
Main Hoon Gaon Ki Gori,Bol Radha Bol,"Kumar Sanu, Poornima"
Tu Tu Tu Tu Tu Tara,Bol Radha Bol,"Kumar Sanu, Poornima"
Apna Bombay Talkies,Bombay Talkies,"Kumar Sanu, Udit Narayan, Alka Yagnik, Shreya Ghoshal, Sonu Nigam, Shaan, Sunidhi Chauhan, Abhijeet, Kavita Krishnamurthy, S. P. Balasubrahmanyam, Kk, Sukhwinder Singh, Shilpa Rao, Mohit Chauhan, Sadhana Sargam"
Yaad Aati Hai,Border Hindustan Ka,"Kumar Sanu, Vinod Rathod, Udit Narayan"
Gudiya Jaisi Ladki Hai,Boy Friend,"Kumar Sanu, Kavita Krishnamurti"
I Am Your Boy Friend,Boy Friend,Kumar Sanu
Hans Ke Guzari Zindegi,Brahma,"Kumar Sanu, Alka Yagnik"
Pehle Pehle Pyar Ka,Brahma,Kumar Sanu
Pyar Ka Zamana,Brahma,Kumar Sanu
Hum Ne Tum Ko,Bulandi,Kumar Sanu
Mujhe Hichki Lagi,Bulandi,"Kumar Sanu, Anuradha Paudwal"
Aayi Amavas Ki Raat,Bunglow No.666,"Kumar Sanu, Kavita Krishnamurthy"
Aayi Amavas Ki Raat (Part 2),Bunglow No.666,Kumar Sanu
