Song,Film/Album,Artists
Taar Haate Chhilo Hashir Phuler Haar,Rabindra Sangeet,Suchitra Mitra
Balo To Eibarer Mato,Rabindra Sangeet 3,Purabi Mukherjee
Aamar Later Pratham Mukul,Rabindra Sangeet,Purabi Mukherjee
Dhusar Jibaner Godhulite Klanta Aloy,Rabindra Sangeet,"Iman Chakraborty, Tanmoy Chatterjee"
Ami Rupe Tomay Bholabo Na,,Kanika Banerjee
Ami Rupe Tomay Bholabo Na,Rabindra Sankalan Gaaner,Kanika Banerjee
Jani Jani Tumi Esechho E Pathe,Rabindranather Barshar,Sudeshna Chatterjee
Ami Kamon Koriya Janabo,Rabindrasangeet By,Chittapriya Mukherjee
Durer Bandhu Surer,,Tapati Dam
Durer Bandhu Surer,Rabindrasangeeter Dhara,Tapati Dam
Tomar Mon Bale Chai Chai Go,Rabindrasangeeter Dhara,Geeta Sen
Amar Moner Koner Baire,Rabindrasangeeter Dhara,Aditi Mohsin
Tabu Mone Rekho,Rabindrasangeeter Dhara,Shreya Guhathakurta
Jay Niye Jay Amay,Rabindro Sangeet By Bithin,Bithin Banerjee
Hai Atithi Ekhoni Ki Holo Tomar Jabar,Raho Sathe Iman,Iman Chakraborty
Keno Jamini Na Jete Jagale Na,Raho Sathe Iman,"Sumitra Sen, Iman Chakraborty"
Oli Bar Bar Phire Jay,Raho Sathe Iman,"Chinmoy Chatterjee, Iman Chakraborty"
Sakhi Oi Bujhi Banshi Baje,Raho Sathe Iman,Iman Chakraborty
Ebar Bujechhi Sakha,Rare Gems From Tagore,Rahul Mitra
Jodi Amay Tumi Banchao Tabe,Geetabitan Archive,Indrani Das
Katha Kos Ne Lo Rai,Geetabitan Archive,Sagnik Sen
Amra Bosbo Tomar Sone,Geetabitan Archive,Aditi Gupta
Chi Chi Mari Laaje,Geetabitan Archive,Aditi Gupta
Dhako Re Mukh Chandrama,Geetabitan Archive,Aditi Gupta
Ek Phaguner Gaan Se Amar,Geetabitan Archive,Biswarup Rudra
Ghumer Ghana Gahan Hote,Geetabitan Archive,Rahul Mitra
Ha Ke Bole Debe,Geetabitan Archive,Sudeshna Mitra
Hay Re Hay Re Nupur,Geetabitan Archive,Swarup Paul
Ki Holo Amar,Rupantaree,Sagar Sen
Ki Holo Amar,Geetabitan Archive,Madhumita Ghosh
Katobar Bhebechhinu Apona Bhuliya,Rupantaree,Sagar Sen
Swapane Donhe Chhinu Ki Mohe,Sagar Sen Hey Nirupama,Sagar Sen
Ke Elo Aji E Ghor Nishithe,Sakal Raser Dhara,Chorus
Aaj Tomare Dekhte Elem,Sanchayan,Kabir Suman
Aaju Sakhi Muhumuhu,Sanchayan,Kanika Banerjee
Amar Mon Bale Chai,Sanchayan,Kabir Suman
Amar Nishith Raater Badaldhara,Sanchayan,Kabir Suman
Anek Katha Bolechhilem,Sanchayan,Kabir Suman
E Ki Satya Sakali Saatya,Sanchayan,Kabir Suman
Kahar Galai Parabi Gaaner Ratanhaar,Sanchayan,Kabir Suman
Kahar Galai Parabi Gaaner Ratanhaar,Baro Asha Kore Ese Chigo,
Ke Bale Jao Jao,Sanchayan,Kabir Suman
Nishithe Ki Koye Gelo Mone,Sanchayan,Kabir Suman
Sakalbelar Aloy Baje,Sanchayan Akashbhara,Debabrata Biswas
Nupur Beje Jay Rinirini,Sanchayan Pijushkanti,Pijushkanti Sarkar
Ami Swapane Royechhi Bhor,Sanchayan Swagatalakshmi,Swagatalakshmi Dasgupta
Jani Tomar Ajana Nahi Go,Sanchayan Swagatalakshmi,Swagatalakshmi Dasgupta
Juge Juge Bujhi Amaay Cheyechhilo Se,Sanchayan Swagatalakshmi,
Premer Phand Pata Bhubone,Sanchayan Swagatalakshmi,Swagatalakshmi Dasgupta
Amar Mon Cheye Roy Mone Mone,Sanchayan Hemanta,Hemanta Mukherjee
Bajilo Kahar Beena,Sanchayan Hemanta,Hemanta Mukherjee
Se Aase Dheere,Sanchayan Hemanta,Hemanta Mukherjee
Aaj Sabar Range Rang Mishate Habe,Sandhya Ami Gaan Geye,Sandhya Mukherjee
Amar Ei Rikto Dali,,Sandhya Mukherjee
Amar Ei Rikto Dali,Sandhya Ami Gaan Geye,Sandhya Mukherjee
Alake Kusum Na Diyo,Sandhyar Meghmala,Chinmoy Chatterjee
Bidhi Dagar Ankhi,Sandhyar Meghmala,Chinmoy Chatterjee
Pathhara Tumi Pathik Jeno Go,Sandhyar Meghmala,Chinmoy Chatterjee
Dibas Rajani Ami Jeno Kar,Santanu Roychowdhury,Santanu Roychowdhury
Ebar Milan Haoway Haoway,Shubho Milan Lagane,Chinmoy Chatterjee
Ebar Milan Haoway Haoway,Shubho Milan Lagane Marriage Songs From Tagore,Chinmoy Chatterjee
Dhora Se Je Dey Nai,Shyama Porishodh Rabindro,Swagatalakshmi Dasgupta
Hai Bideshi Eso Eso,Shyama Porishodh Rabindro,Swagatalakshmi Dasgupta
He Birahi Hai Chanchal Hiya,Shyama Porishodh Rabindro,Pubali Debnath
Jibon E Porom Logon,Shyama Porishodh Rabindro,"Pubali Debnath, Hemanta Mukherjee"
Tumi Indramunir Haar,Shyama Porishodh Rabindro,Anirudhdha Singha
Hasire Ki Lukabi Laje,Sonar Bangla,Aditi Sengupta
Hai Atithi Ekhoni,Songs Of Rabindranath,Dwijen Mukherjee
Je Phul Jhare Sei To Jhare,Songs Of Rabindranath Bani,Geeta Ghatak
Tomar Holo Shuru,Songs Of Rabindranath,Hemanta And Arundhati
Chander Hasir,Sraboni Sen Nisithe,Srabani Sen
Bondhu Raho Raho Sathe,Sudurer Mita Rezwana,Rezwana Chowdhury Bannya
"Bondhu, Michhe Raag Koro Na",Suman Chatterjee Esechhi,Kabir Suman
"Nayan Mele Dekhi, Amay",,Kabir Suman
"Nayan Mele Dekhi, Amay",Suman Chatterjee Esechhi,Kabir Suman
Ei Bujhi Mor,Sumitra Roy And Agnibha,Sumitra Roy
De Tora Amay Nutan Kare De,Sunirbachita,Geeta Sen
Amra Dujana Swarga Khelna,Swapan Goutam Bhorer,Swapan Gupta
Basante Aj Dharar Chitto Holo,Swapner Aabhase Rezwana,Rezwana Chowdhury Bannya
De Pore De Amay Tora,Swapner Aabhase Rezwana,Rezwana Chowdhury Bannya
Ami Je Aar Soite Pari Ne,Tabu Money Rekho Suchitra,Suchitra Mitra
Amar Sonar Harin Chai,Tagore 4 2Moro Recreated,Rupankar Bagchi
Ami Alam Tari Dare,Tagore Songs,Sumitra Sen
Dhusar Jibaner Godhulite,Tagore Songs And Reading,Indira Shilpigoshthi
Abar More Pagol Kore Dibe Ke,Tagore Songs By Sudeshna,Sudeshna Chatterjee
Bone Emon Phul Phutechhe,Tagore Songs By Sudeshna,Kamalini Mukherjee
Barshanmandrita Andhakare,Suman Chatterjee Esechhi,Hemanta Mukherjee
Barshanmandrita Andhakare,Tagore Songs Pankaj Kumar,Pankaj Kumar Mullick
Gaan Amar Jay Bhese Jay,Tagore Songs Purba Dam,Purba Dam
Gharete Bhramar Elo Gunguniye,Tagore Songs Various Artiste,Arundhati Holme Chowdhury
Gaaner Bhelay Bela Abelay,Tagore Songs Gaaner Bhelai,Maya Sen
Joubansarasineere,Thagini,"Sushil Mullick, Hemanta Mukherjee"
Kon Debata Se,Tomaderi Hemanta,"Hemanta Mukherjee, Kanika"
Bodhu Tomay Korbo Raja,Tomar Abhishar Shreya,Shreya Guhathakurta
Hriday-Basantabone,Tridhara Srikanto Acharya,Srikanto Acharya
Je Chilo Amar,Tridhara Srikanto Acharya,Srikanto Acharya
Tumi Ektu Kebol Boste Diyo Kachhe,Tumi Ektu Kebol Boste Diyo,Shyamal Mitra
