Song,Film/Album,Artists
Swapne Amar Mone Holo,Raginir Ghate,Supratik Das
Bondhu Raho Raho Sathe,Raho Sathe Iman,Iman Chakraborty
Tumi Kichhu Diye Jao,,Santidev Ghosh
Tumi Kichhu Diye Jao,Rangiya Diya Jao Go Ebar,Santidev Ghosh
Andhar Kunrir Bnadhan Tute,Rare Gems From Tagore,Tanmoy Chatterjee
Klanto Jokhon Amrokdir Kal,Rare Gems From Tagore,Sudeshna Chatterjee
Ebar Biday Belar Sur Dharo Dharo,Geetabitan Archive,Sutapa Chakraborty
Tomar Ason Patbo Kothay,Geetabitan Archive,Indrani Das
Aan Go Tora Kar Ki Achhe,Geetabitan Archive,"Ila Mitra, Sunil Ghosh"
Amra Bendhechhi Kasher Guchchha,Ritu Ranga Seasonal Songs,"Suchitra Mitra, Chorus"
Chhar Go Tora Chhar Go,Rituranga,Rita Ghosh
Dakhin Haowa Jago Jago,Rituranga,Dwijen Mukherjee
Elo Je Shiter Bela,Rituranga,Arghya Sen
Hai Hemantalakshmi,Sabuj Pale Laglo Haoa,Debarati Shome
Trishnar Shanti Sundar Kanti,Sanchayan,Kabir Suman
Trishnar Shanti Sundar Kanti,Sakal Raser Dhara,Chorus
Aaji Barishan - Mukharita Srabanrati,,Jayati Acharya
Aaji Barishan - Mukharita Srabanrati,Sanchayan,Kabir Suman
Aaji Oi Akash Pare,Sanchayan,Kabir Suman
Ebar Elo Samay Re Tor,Sanchayan,Suchitra Mitra
Hridaye Chhile Jege,Sanchayan,Kabir Suman
Kon Khyapa Sraban,Sanchayan,Suchitra Mitra
Aaji Barsharaater Seshe,Sanchayan Akashbhara,Debabrata Biswas
Eso Go Jwele Diye Jao,Sanchayan Akashbhara,Debabrata Biswas
Taper Taaper Bandhan Katuk,Sanchayan Mohan Singh,Pijushkanti Sarkar
Taper Taaper Bandhan Katuk,Sanchayan Akashbhara,Debabrata Biswas
Nishithraater Pran,Sanchayan Mohan Singh,Mohan Singh
Ami Takhan Chhilem Magan,Sanchayan Pijushkanti,"Chorus, Pijushkanti Sarkar, Hemanta Mukherjee"
Akashbhara Surjo Tara,Sanchayan Sagar Sen,Sagar Sen
Bhor Holo Jei,Sanchayan Swagatalakshmi,Swagatalakshmi Dasgupta
Oi Aase Oi Oti Bhairab Harashe,Sanchayan Swagatalakshmi,Swagatalakshmi Dasgupta
Chole Jay Mori Hay Basanter Din,Sanchayan Hemanta,Hemanta Mukherjee
Aar Nai Je Deri,Sandhyar Meghmala,Chinmoy Chatterjee
Alor Amal Kamalkhani,Sandhyar Meghmala,Chinmoy Chatterjee
"O Manjari, O Manjari",Santidev Ghosh Dui Haate,Santidev Ghosh
Baki Ami Rakhbo Na Kichhui,Santosh Sengupta Keno,Santosh Sengupta
"Namo Namo Namo, Namo Namo Namo",Sara Bachharer,"Rabindranath, Jayati Acharya"
"Namo, Namo. Nirday Oti Karuna Tomar",Sara Bachharer,Jayati Acharya
"Namo Namo, Tumi Sundartamo",Sara Bachharer,Rahul Mitra
"Ore Bakul, Parul, Ore Shal-Piyaler Bon",Sara Bachharer,Sreela Sen
Shushkotaper Daityapure,Sara Bachharer,Sagnik Sen
Tapaswini Hey Dharani,Sara Bachharer,Swarup Paul
Nirmal Kanta Namo Hey Namo,Sara Bachharer,Srabana Bhattacharya
Sharate Aaj Kon Atithi,Sara Bachharer,Ananda Gupta
Madhobi Hothat Khotha Hote,Sara Bachharer,Chorus
Basante Basante Tomar Kabire Dao Dak,Se Din Amaye Bolechile,Roma Mondal
Dinsheshe Basanta Ja Prane Gelo Bole,Se Din Amaye Bolechile,Roma Mondal
Eso Sharater Amal Mahima,Se Din Amaye Bolechile,Roma Mondal
Phagun Haoway Range Range,Se Din Amaye Bolechile,Roma Mondal
Poush Toder Dak Diyechhe,Seasonal Songs Of Tagore,"Sailen, Dhiren, Mrinal, Sagar Sen, Sumitra Sen, Sumitra Roy, Krishna Chatterjee, Krishna Sen"
Ebar To Jouboner Kachhe,Sedin Dujane Popular Duets,"Sushil Mullick, Kumkum Chatterjee"
Aaj Shrabaner Purnimate,Rangiya Diya Jao Go Ebar,Purba Dam
Aaj Shrabaner Purnimate,Shanti Karo Barisana,Purba Dam
Sharat Alor Kamalbone,Sharat Aalor Kamal Bone,Susmita Bhattacharya
"Basanta, Tor Shesh Kore De Rango",Shatabarshe Rabindranath,Uma Rudra
Ebar Bhasiye Dite Hobe,,Sudha Mukherjee
Ebar Bhasiye Dite Hobe,Shyama Porishodh Rabindro,Geete Natya
Basante Phool Ganthlo,,Arati Mukherjee
Basante Phool Ganthlo,Songs Of Rabindranath Arati,Arati Mukherjee
Kar Banshi Nishibhore,Songs Of Rabindranath,Purabi Mukherjee
Oi Je Jharer Megher Kole,Songs Of Rabindranath,Suchitra Mitra
Phaguner Nabin Anande,Songs Of Rabindranath,Kanak Das
Aaj Dakhin Batase,Songs Of Rabindranath,"Suchitra Mitra, Kanak Das"
Bhanglo Hashir Bandh,Songs To Remember Kanika,Suchitra Mitra
Oi Bujhi Kalbaishakhi,,Suchitra Mitra
Oi Bujhi Kalbaishakhi,Songs To Remember Kanika,Suchitra Mitra
Aaji Hriday Amar Jay Je Bhese,Sraban Tumi Srabani Sen,Srabani Sen
Aaji Srabanghanagahan Mohe,Sraban Tumi Srabani Sen,Srabani Sen
Ashrubhora Bedona,Sraban Tumi Srabani Sen,Srabani Sen
Badal Diner Pratham Kadam Phul,Sraban Tumi Srabani Sen,Srabani Sen
Eso Shyamal Sundar,Sraban Tumi Srabani Sen,Srabani Sen
Mon Mor Megher Sangi,,Srabani Sen
Mon Mor Megher Sangi,Sraban Tumi Srabani Sen,Srabani Sen
Aaji Jharer Raate,Sraboni Sen Nisithe,Srabani Sen
Gahan Ghana Chhailo,Sraboni Sen Nisithe,Srabani Sen
Nibir Amaa-Timir Hote,Sudurer Mita Rezwana,Rezwana Chowdhury Bannya
Nibir Amaa-Timir Hote,Sraboni Sen Nisithe,Srabani Sen
Olo Shephali Olo Shephali,Sudha Mukherjee,Sudha Mukherjee
Gahan Raate Srabandhara,Sudha Mukhopadhyay,"Uma Rudra, Sudha Mukherjee"
Aaj Akasher Moner Kathaa,Sudurer Mita Rezwana,Swagatalakshmi Dasgupta
Aaj Shraboner Purnimate,Sudurer Mita Rezwana,Rezwana Chowdhury Bannya
Chitta Amar Haralo Aaj,Sudurer Mita Rezwana,Rezwana Chowdhury Bannya
Ebar Abagunthan Kholo,,Jaganmoy Mitra
Ebar Abagunthan Kholo,Jaganmoy Mitra Tomar Geeti,Jaganmoy Mitra
Abar Esechhe Asharh,Surer Doshor,Lopamudra Mitra
Ei Shraboner Buker Bhitor,Surer Doshor,"Gautam Mitra, Srikanto Acharya"
Kar Jeno Ei Moner Bedon,Swapane Donhe Chinu Ki,
Kar Jeno Ei Moner Bedon,Swapan And Goutam Bhorer,Gautam Mitra
Madhyadiner Bijan Batayane,,Manna Dey
Madhyadiner Bijan Batayane,Swapane Donhe Chinu Ki,Manna Dey
Sheeter Bone Kon Se Kathin,Swapane Donhe Chinu Ki,Manna Dey
Aaji Jharo Jharo Mukharo Badaldine,Tagore 4 2Moro Recreated,Kamalini Mukherjee
Neel Anjanghana Punjachhayay,Tagore Pijush Kanti Sarkar,Pijushkanti Sarkar
Dheere Dheere Dheere Bao Ogo,Tagore Songs,Chinmoy Chatterjee
Purnochander Mayay Aaji,Tagore Songs Aarati,"Mukherjee, Arati Mukherjee"
Amar Priyar Chhaya,Tagore Songs And Reading,Hemanta Mukherjee
Basanta Taar Gaan Likhe Jay,Tagore Songs Bengali,Suchitra Mitra
Shiuli Phota Phurolo Jei,Tagore Songs Bengali,Suchitra Mitra
Nibiro Ontorotoro Boshonto Elo Prane,Shyama Porishodh Rabindro,Sudeshna Chatterjee
Nibiro Ontorotoro Boshonto Elo Prane,Tagore Songs By Sudeshna,Sudeshna Chatterjee
"Keno Pantha, E Chanchalata",Songs Of Rabindranath Arati,Hemanta Mukherjee
"Keno Pantha, E Chanchalata",Tagore Songs Hamanta,
Ogo Amar Sraban Megher,Tagore Songs Suchitra Mitra,Suchitra Mitra
Aaj Kichhutei Jai Na Moner Bhar,Tagore Songs Gaaner Bhelai,Maya Sen
Tomra Ja Bolo Tai Bolo,Tomar Abhishar Shreya,Shreya Guhathakurta
E Bela Dak Porechhe Konkhane,Tomar Path Cheye,Ritu Guha
Akash Amay Bhorlo Aloy,Tomari Name Nayan Melinu,Purba Dam
Heriya Shyamal Ghana Neel Gagane,Tomari Name Nayan Melinu,Purba Dam
Prakhar Tapantape,Tribeni Sangam Tagore,Rajasree Bhattacharya
Prakhar Tapantape,Tomari Name Nayan Melinu,Purba Dam
Phaguner Purnima Elo,Tribeni Sangam Tagore,Rajasree Bhattacharya
Aaji Tomay Abar Chai Shunabare,Tridhara Srikanto Acharya,Srikanto Acharya
Hey Madhabi Dwidha Keno,Tumi Ektu Kebol Boste Diyo,Shyamal Mitra
Neel Digante Oi Phuler Agun Laglo,Uttra O Utpalendu,Kanika Banerjee
Jhare Jharo Jharo,Varsha Mangal Tagore,Sailen Mukherjee
"Namo Namo, Namo Karunaghana",Sraban Tumi Srabani Sen,Arati Mukherjee
"Namo Namo, Namo Karunaghana",Varsha Mangal Tagore,Sailen Mukherjee
